#: table_doi: 10.17182/hepdata.86210.v1/t7
#: name: Table 7
#: description: Additional systematic error for PBPB 0-5 pct data: +2.2 pct -2.2 pct
Additional systematic error for PBPB 5-10 pct data: +2.2 pct -2.2 pct
Additional systematic error for PBPB 10-20 pct data: +2.4 pct -2.4 pct
Additional systematic error for PBPB 20-30 pct data: +2.7 pct -2.7 pct
Additional systematic error for PBPB 30-40 pct data: +3.4 pct -3.4 pct
Additional systematic error for PBPB 40-50 pct data: +3.7 pct -3.7 pct
Additional systematic error for PBPB 50-60 pct data: +4.9 pct -4.9 pct
Additional systematic error for PBPB 60-70 pct data: +6.7 pct -6.7 pct
Additional systematic error for PBPB 70-80 pct data: +7.1 pct -7.1 pct.

#: data_file: Fig6_PbPb_2760GeV.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword cmenergies: 2760
#: CENT,,,0-5 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X,,,,
#: SQRT(S)/NUCLEON,,,2760.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -
1.2999999999999998,1.2,1.4,0.471691,0.0002348,-0.0002348,0.023178,-0.023178
1.5,1.4,1.6,0.494975,0.00030156,-0.00030156,0.024773,-0.024773
1.7000000000000002,1.6,1.8,0.509085,0.00037634,-0.00037634,0.025461,-0.025461
1.9,1.8,2.0,0.516187,0.0004612,-0.0004612,0.026868,-0.026868
2.1,2.0,2.2,0.515651,0.0005724,-0.0005724,0.027501,-0.027501
2.3,2.2,2.4,0.507048,0.00067057,-0.00067057,0.025956,-0.025956
2.5,2.4,2.6,0.493681,0.00077296,-0.00077296,0.024098,-0.024098
2.7,2.6,2.8,0.478931,0.00088411,-0.00088411,0.023043,-0.023043
2.9,2.8,3.0,0.454596,0.00098136,-0.00098136,0.021432,-0.021432
3.1,3.0,3.2,0.434581,0.0010979,-0.0010979,0.021416,-0.021416
3.4000000000000004,3.2,3.6,0.403991,0.00086926,-0.00086926,0.019323,-0.019323
3.8,3.6,4.0,0.360887,0.0010255,-0.0010255,0.018253,-0.018253
4.5,4.0,5.0,0.313271,0.00085256,-0.00085256,0.015289,-0.015289
5.5,5.0,6.0,0.266218,0.0012553,-0.0012553,0.012107,-0.012107
7.0,6.0,8.0,0.250165,0.0015202,-0.0015202,0.011375,-0.011375
9.0,8.0,10.0,0.268016,0.0032577,-0.0032577,0.01156,-0.01156
11.5,10.0,13.0,0.298648,0.0055288,-0.0055288,0.012771,-0.012771
16.5,13.0,20.0,0.370508,0.010842,-0.010842,0.017716,-0.017716
25.0,20.0,30.0,0.448457,0.033168,-0.033168,0.020726,-0.020726
40.0,30.0,50.0,0.688948,0.13002,-0.13002,0.039158,-0.039158

#: CENT,,,30-40 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X,,,,
#: SQRT(S)/NUCLEON,,,2760.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -
0.175,0.15,0.2,0.274026,0.00014235,-0.00014235,0.020717,-0.020717
0.225,0.2,0.25,0.272384,9.2152e-05,-9.2152e-05,0.014372,-0.014372
0.275,0.25,0.3,0.27897,8.8459e-05,-8.8459e-05,0.013516,-0.013516
0.32499999999999996,0.3,0.35,0.28808,9.0652e-05,-9.0652e-05,0.013868,-0.013868
0.375,0.35,0.4,0.299456,9.6303e-05,-9.6303e-05,0.014612,-0.014612
0.42500000000000004,0.4,0.45,0.311211,0.00010379,-0.00010379,0.014842,-0.014842
0.475,0.45,0.5,0.323355,0.00011541,-0.00011541,0.015358,-0.015358
0.525,0.5,0.55,0.336916,0.00013083,-0.00013083,0.015417,-0.015417
0.575,0.55,0.6,0.350548,0.0001474,-0.0001474,0.015825,-0.015825
0.625,0.6,0.65,0.365036,0.00016691,-0.00016691,0.015766,-0.015766
0.675,0.65,0.7,0.378365,0.00018872,-0.00018872,0.015882,-0.015882
0.725,0.7,0.75,0.391912,0.00021132,-0.00021132,0.0169,-0.0169
0.775,0.75,0.8,0.404224,0.00023555,-0.00023555,0.017361,-0.017361
0.825,0.8,0.85,0.416172,0.00026158,-0.00026158,0.017919,-0.017919
0.875,0.85,0.9,0.427559,0.00028998,-0.00028998,0.019353,-0.019353
0.925,0.9,0.95,0.438471,0.0003202,-0.0003202,0.02114,-0.02114
0.975,0.95,1.0,0.449628,0.0003489,-0.0003489,0.020346,-0.020346
1.05,1.0,1.1,0.464582,0.00027733,-0.00027733,0.021321,-0.021321
1.15,1.1,1.2,0.481315,0.00031925,-0.00031925,0.022438,-0.022438
1.2999999999999998,1.2,1.4,0.503741,0.00026142,-0.00026142,0.024826,-0.024826
1.5,1.4,1.6,0.526049,0.00033389,-0.00033389,0.026348,-0.026348
1.7000000000000002,1.6,1.8,0.539438,0.00041486,-0.00041486,0.027178,-0.027178
1.9,1.8,2.0,0.54677,0.00050761,-0.00050761,0.028053,-0.028053
2.1,2.0,2.2,0.546184,0.00063144,-0.00063144,0.028329,-0.028329
2.3,2.2,2.4,0.53891,0.00074231,-0.00074231,0.027422,-0.027422
2.5,2.4,2.6,0.527429,0.00085904,-0.00085904,0.024978,-0.024978
2.7,2.6,2.8,0.514317,0.00098772,-0.00098772,0.023701,-0.023701
2.9,2.8,3.0,0.491525,0.0011046,-0.0011046,0.023034,-0.023034
3.1,3.0,3.2,0.476652,0.0012542,-0.0012542,0.023093,-0.023093
3.4000000000000004,3.2,3.6,0.447625,0.0010019,-0.0010019,0.021047,-0.021047
3.8,3.6,4.0,0.409796,0.0012122,-0.0012122,0.020417,-0.020417
4.5,4.0,5.0,0.36759,0.0010421,-0.0010421,0.017643,-0.017643
5.5,5.0,6.0,0.326485,0.0016007,-0.0016007,0.014495,-0.014495
7.0,6.0,8.0,0.311303,0.0019671,-0.0019671,0.013881,-0.013881
9.0,8.0,10.0,0.3342,0.0042128,-0.0042128,0.014107,-0.014107
11.5,10.0,13.0,0.36366,0.0069789,-0.0069789,0.015197,-0.015197
16.5,13.0,20.0,0.425291,0.012913,-0.012913,0.019966,-0.019966
25.0,20.0,30.0,0.493843,0.037868,-0.037868,0.022392,-0.022392
40.0,30.0,50.0,0.68619,0.13359,-0.13359,0.038563,-0.038563

#: CENT,,,40-50 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X,,,,
#: SQRT(S)/NUCLEON,,,2760.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -
0.175,0.15,0.2,0.321447,0.00018093,-0.00018093,0.024114,-0.024114
0.225,0.2,0.25,0.317061,0.00011665,-0.00011665,0.01661,-0.01661
0.275,0.25,0.3,0.322926,0.00011141,-0.00011141,0.015648,-0.015648
0.32499999999999996,0.3,0.35,0.331688,0.00011361,-0.00011361,0.01606,-0.01606
0.375,0.35,0.4,0.343052,0.0001201,-0.0001201,0.016919,-0.016919
0.42500000000000004,0.4,0.45,0.354522,0.00012867,-0.00012867,0.017039,-0.017039
0.475,0.45,0.5,0.366591,0.00014227,-0.00014227,0.017449,-0.017449
0.525,0.5,0.55,0.380205,0.00016051,-0.00016051,0.017396,-0.017396
0.575,0.55,0.6,0.394029,0.00017994,-0.00017994,0.017838,-0.017838
0.625,0.6,0.65,0.408602,0.00020281,-0.00020281,0.017603,-0.017603
0.675,0.65,0.7,0.422471,0.00022828,-0.00022828,0.017691,-0.017691
0.725,0.7,0.75,0.435317,0.00025457,-0.00025457,0.018716,-0.018716
0.775,0.75,0.8,0.447738,0.00028229,-0.00028229,0.019176,-0.019176
0.825,0.8,0.85,0.459521,0.00031236,-0.00031236,0.019666,-0.019666
0.875,0.85,0.9,0.470982,0.00034504,-0.00034504,0.021273,-0.021273
0.925,0.9,0.95,0.480952,0.00037961,-0.00037961,0.023071,-0.023071
0.975,0.95,1.0,0.492286,0.00041244,-0.00041244,0.022132,-0.022132
1.05,1.0,1.1,0.506972,0.00032602,-0.00032602,0.023285,-0.023285
1.15,1.1,1.2,0.522516,0.00037391,-0.00037391,0.024332,-0.024332
1.2999999999999998,1.2,1.4,0.542969,0.00030212,-0.00030212,0.026703,-0.026703
1.5,1.4,1.6,0.563678,0.00038245,-0.00038245,0.028331,-0.028331
1.7000000000000002,1.6,1.8,0.573765,0.00047148,-0.00047148,0.029276,-0.029276
1.9,1.8,2.0,0.577424,0.00057303,-0.00057303,0.029568,-0.029568
2.1,2.0,2.2,0.576886,0.00071433,-0.00071433,0.030533,-0.030533
2.3,2.2,2.4,0.566371,0.000837,-0.000837,0.028932,-0.028932
2.5,2.4,2.6,0.555184,0.0009675,-0.0009675,0.026938,-0.026938
2.7,2.6,2.8,0.544348,0.0011202,-0.0011202,0.025937,-0.025937
